"nombre","slug","categoria_detectada","tipo_cocina","rango_precio","provincia","distrito","corregimiento","direccion","sitio_web","latitud","longitud","horario","rating","cantidad_resenas","delivery","reservas","activo","fuente","query_origen","source_files"
"Filomena Cucina di Mare Panamá","filomena-cucina-di-mare-panama-484036","Italiana","Restaurante italiano","","Panamá","Panamá","","PH YOO 6TH, FLOOR, Provincia de Panamá","http://www.filomenarest.com/","8.9760179","-79.5235866","Abierto · Cierra a las 11 p. m.","4.7","1242","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Frank's Place","frank-s-place-453579","Italiana","Restaurante italiano","","Panamá","Panamá","","Planta Baja, PH Plaza Zoom, Av. Ricardo Arango, Panama City","http://www.franksplacepanama.com/","8.983244899999999","-79.5215444","Abierto · Cierra a las 11 p. m.","4.8","718","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Il Tula San Francisco","il-tula-san-francisco-651525","Italiana","Restaurante italiano","","Panamá","Panamá","","Calle 67 esquina, Vía Israel, Panamá","","8.988418099999999","-79.5105234","Abierto · Cierra a las 10:30 p. m.","4.6","243","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | restaurantes en San Francisco Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"La Locanda - Obarrio","la-locanda-obarrio-722878","Italiana","Restaurante","","Panamá","Panamá","","Calle 57 Este, Panamá, Provincia de Panamá","","8.984984299999999","-79.51836519999999","Abierto · Cierra a las 10 p. m.","4.5","1303","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"La Strega Ristorante | Bella Vista","la-strega-ristorante-bella-vista-153361","Italiana","Restaurante italiano","$$","Panamá","Panamá","","Al lado de financiera Pacifico, Panamá Calle 50 Entre la Av. Federico Boyd y, C. República de Uruguay, Panamá","http://lastregaristorante.com/","8.9788718","-79.52661719999999","Abierto · Cierra a las 10 p. m.","4.4","1839","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"La Strega Ristorante | Costa del Este","la-strega-ristorante-costa-del-este-720826","Italiana","Restaurante italiano","","Panamá","Panamá","","Edificio Time Square, local 6, Av. Costa del Sol PB, Panamá","https://lastregaristorante.com/","9.0158325","-79.4668624","Abierto · Cierra a las 10 p. m.","4.5","377","","","True","SerpApi Google Maps","restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv"
"Lucca | Multiplaza Pacific","lucca-multiplaza-pacific-027767","Italiana","Restaurante italiano","","Panamá","Panamá","","Plaza de la Luna, Multiplaza Mall, Nivel 2, Panamá, Provincia de Panamá","https://www.luccatrattoria.com/","8.9871134","-79.5110342","Abierto · Cierra a las 10 p. m.","4.7","637","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Lucca El Cangrejo Panamá","lucca-el-cangrejo-panama-587342","Italiana","Restaurante italiano","","Panamá","Panamá","","C. Jose Isaac Fabrega, Panamá, Provincia de Panamá","https://www.luccatrattoria.com/","8.9877495","-79.5240086","Abierto · Cierra a las 10 p. m.","4.6","2691","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Madre Cocina Italiana Costa Del Este","madre-cocina-italiana-costa-del-este-006137","Italiana","Restaurante","","Panamá","Panamá","","planta baja, Avenida Centenario, Dream Plaza, Panamá","","9.01641","-79.4704245","Abierto · Cierra a las 11 p. m.","4.5","114","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"MADRE CUCINA ITALIANA & STEAKHOUSE","madre-cucina-italiana-steakhouse-930992","Italiana","Restaurante italiano","","Panamá","Panamá","","C. 8a Este, Panamá, Provincia de Panamá","","8.951571399999999","-79.5323787","Abierto · Cierra a las 10 p. m.","4.5","477","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Olive Garden | Town Center Costa del Este","olive-garden-town-center-costa-del-este-137963","Italiana","Restaurante italiano","","Panamá","Panamá","","Town Center, Av Paseo del Mar, Panamá, Provincia de Panamá","https://olivegarden.com.pa/","9.0136292","-79.4650599","Abierto · Cierra a las 9 p. m.","4.9","1187","","","True","SerpApi Google Maps","restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv"
"Pastissima El Origen","pastissima-el-origen-770606","Italiana","Restaurante italiano","","Panamá","Panamá","","Casa #72, C. 72 Este, Panamá, Provincia de Panamá","https://www.pastissimapty.com/","8.9916328","-79.5077816","Abierto · Cierra a las 10 p. m.","4.3","185","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Ricominciare Cucina italiana","ricominciare-cucina-italiana-909946","Italiana","Restaurante italiano","","Panamá","Panamá","","Oceanía Business Plaza, torre 1000, y 2000 PB, Panamá, Provincia de Panamá","https://www.instagram.com/ricominciare_rest/","8.9811369","-79.5097703","Abierto · Cierra a las 11 p. m.","4.6","159","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Sama Sky Lounge","sama-sky-lounge-082250","Italiana","Coctelería","","Panamá","Panamá","","Oasis Hotel, C. 9a Este, Panama City, Panamá Province","https://honeybadgerbars.com/en/sama","8.9535856","-79.5363186","Abierto · Cierra a las 2 a. m.","4.8","1679","","","True","SerpApi Google Maps","restaurantes en Casco Viejo Panamá","restaurantes_serpapi.csv"
"Tommasino Cucina Di Mare | Restaurante Italiano en Panamá","tommasino-cucina-di-mare-restaurante-italiano-en-panama-808258","Italiana","Restaurante italiano","","Panamá","Panamá","","07096, Panamá","https://www.facebook.com/Tommasinopa","8.9794171","-79.5227319","Abierto · Cierra a las 9:30 p. m.","4.6","196","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Tre Scalini | Costa del Este","tre-scalini-costa-del-este-805602","Italiana","Restaurante italiano","","Panamá","Panamá","","Av. Centenario, Panamá, Provincia de Panamá","http://trescalinipanama.com/","9.0161111","-79.4725","Abierto · Cierra a las 9 p. m.","4.6","531","","","True","SerpApi Google Maps","restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv"
"Wahaka Restaurante","wahaka-restaurante-129702","Mexicana","Restaurante mexicano","","Panamá","Panamá","","Oceania Business Center, Torre 2000, Local C, Blvd. Pacífica, Panama City","http://wahakarest.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9816140719979057064","8.9804547","-79.5098134","Abierto · Cierra a las 10 p. m.","4.5","982","","","True","SerpApi Google Maps","restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv"
"Barrio Pizza | Via Argentina","barrio-pizza-via-argentina-356381","Pizza","Pizzería","","Panamá","Panamá","","1, Panamá, Provincia de Panamá","https://barriopizza.com/","8.9884249","-79.5242805","Abierto · Cierra a las 11 p. m.","4.7","69","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Barrio Pizza | Via Porras","barrio-pizza-via-porras-615813","Pizza","Pizzería","","Panamá","Panamá","","Vía Porras, Panamá, Provincia de Panamá","http://www.barriopizza.com/","8.993405","-79.5162088","Abierto · Cierra a las 10 p. m.","4.5","951","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Ciao Bella | San Francisco","ciao-bella-san-francisco-216165","Pizza","Restaurante italiano","","Panamá","Panamá","","C. 71 Este, Panamá, Provincia de Panamá","https://www.instagram.com/ciaobellapanama/","8.9940609","-79.5087171","Abierto · Cierra a las 9:30 p. m.","4.6","1170","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá | restaurantes en San Francisco Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Il Padrino Pizzeria","il-padrino-pizzeria-625065","Pizza","Restaurante italiano","","Panamá","Panamá","","Oasis Hotel, C. 9a Este, Panamá, Provincia de Panamá","https://honeybadgerbars.com/en/il-padrino","8.9535647","-79.53632209999999","Abierto · Cierra a las 12 a. m.","4.8","746","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Just Pizza en Clayton - Sapore Tutto Italiano","just-pizza-en-clayton-sapore-tutto-italiano-947721","Pizza","Pizzería","","Panamá","Panamá","","Plaza Clayton, Calle Carrol, Panamá, Provincia de Panamá","https://justpizzapty.com/","9.0054848","-79.5702922","Abierto · Cierra a las 9:15 p. m.","4.8","120","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Katané Pizza | San Francisco","katane-pizza-san-francisco-266874","Pizza","Pizzería","","Panamá","Panamá","","C. 71 Este, Panama City, Panamá Province","https://instagram.com/katanepizzapty","8.9948687","-79.50893839999999","Abierto · Cierra a las 9:30 p. m.","4.6","227","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Katané Speedy Pizza","katane-speedy-pizza-499224","Pizza","Pizzería","","Panamá","Panamá","","Renaissance Cangrejo, Vía Veneto 55, Panamá, Provincia de Panamá","https://katanepizza.com/","8.9870787","-79.52995179999999","Abierto · Cierra a las 9:30 p. m.","4.7","1211","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Nero Pizza","nero-pizza-371016","Pizza","Pizzería","","Panamá","Panamá","","C. Demetrio Basilio Lakas 470B, Panamá, Provincia de Panamá","","9.0023773","-79.57412769999999","Abierto · Cierra a las 10 p. m.","4.9","127","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"PIZZERIA ITALIA & ITALIAN BURGER","pizzeria-italia-italian-burger-933400","Pizza","Restaurante italiano","","Panamá","Panamá","","LOCAL PIZZERIA ITALIA AND ITALIAN BURGER, C. 77 Este 94016, Panamá, Provincia de Panamá","http://www.pizzeriaitaliaitalianburger.com/","8.9943644","-79.5023952","Abierto · Cierra a las 10 p. m.","4.6","556","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Pizzería Q'Bolá","pizzeria-q-bola-814659","Pizza","Pizzería","","Panamá","Panamá","","Av. Central España 13, Panamá, Provincia de Panamá","https://wa.me/+50766938742/?text=HolaPizzeriaQ'BOL%C3%81","8.9735069","-79.5357341","Abierto · Cierra a las 11 p. m.","4.9","67","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Pizzería Sorrento","pizzeria-sorrento-628914","Pizza","Pizzería","","Panamá","Panamá","","E Y, C. 69 Este 88, Panamá, Provincia de Panamá","http://www.restauranteypizzeriasorrento.com/","8.996341","-79.51066329999999","Abierto · Cierra a las 9 p. m.","4.5","1641","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Pizzería Zi María | Bella Vista","pizzeria-zi-maria-bella-vista-736620","Pizza","Restaurante","","Panamá","Panamá","","C. 39 Este, Panamá, Provincia de Panamá","https://www.instagram.com/zimariabellavista?igsh=MTgwZGFzOGwzaGRzdQ==","8.9717071","-79.53106009999999","Abierto · Cierra a las 10 p. m.","4.6","744","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Pronto Pizza Panamá","pronto-pizza-panama-223298","Pizza","Pizzería","","Panamá","Panamá","","XFFC+R8C, entre Black Dog y D Uñas, Park Plaza Mall, Calle Colombia, Panamá, Provincia de Panamá","https://prontopizza.nanotecllc.com/","8.9743794","-79.52932109999999","Abierto · Cierra a las 10 p. m.","4.4","304","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Restaurante Botanica Pizza","restaurante-botanica-pizza-077203","Pizza","Restaurante","","Panamá","Panamá","","XGX3+W6C, the plaza, Vía Cincuentenario, Panamá, Provincia de Panamá","http://www.botanicapanama.com/","8.999763399999999","-79.4970092","Abierto · Cierra a las 9:30 p. m.","4.6","683","","","True","SerpApi Google Maps","pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
